0 0 2
1 184 143
2 20 0
3 15 16
4 438 471
5 993 1034
6 7 10
7 13 26
8 1 3
9 31 34
10 4 6
11 235 92
12 57 198
13 300 0
14 97 99
15 14 16
16 31 0
17 1 3
18 25 37
19 1 8
20 1 5
21 236 243
22 1 2
23 262 265
24 10 19
25 7 0
26 38 40
27 208 0
28 0 1
29 689 693
30 455 475
31 21 23
32 2 0
33 14 29
34 2 5
35 41 0
36 2 0
37 3 0
38 0 3
39 542 544
40 21 28
41 0 2
42 48 53
43 3 4
44 0 2
45 58 0
46 53 74
47 3 7
48 0 3
49 2 0
50 85 92
51 10 0
52 188 204
53 228 7
54 31 32
55 2 4
56 4 10
57 58 75
58 234 240
59 219 334
60 0 5
61 8 11
62 1 8
63 2 3
64 20 25
65 13 5
66 1306 1354
67 52 54
68 6 8
69 40 0
70 324 414
71 150 182
72 6 8
73 2 0
74 11 4
75 35 43
76 85 112
77 7 10
78 23 27
79 27 28
80 11 0
81 0 14
82 275 289
83 3 5
84 0 4
85 17 27
86 26 0
87 2 0
88 289 291
89 518 557
90 12 0
91 59 69
92 1 3
93 9 13
94 2 0
95 499 918
96 4 6
97 67 87
98 63 73
99 42 76
100 6 8
101 2 0
102 31 39
103 0 2
104 161 179
105 22 144
106 33 35
107 1 3
108 0 1
109 63 74
110 30 39
111 0 1
112 154 0
113 0 8
114 8 1
115 20 22
116 44 48
117 17 5
118 3 0
119 2686 3231
120 8 14
121 118 120
122 25 1
123 7 9
124 10 12
125 140 158
126 27 4
127 194 196
128 2 0
129 397 409
130 9 2
131 1 2
132 0 13
133 245 279
134 1 2
135 3 4
136 1 3
137 117 119
138 789 616
139 18 20
140 2 0
141 101 0
142 771 898
143 0 3
144 155 156
145 269 299
146 1930 1940
147 14 1
148 0 2
149 76 21
150 67 39
151 1471 1641
152 65 70
153 372 66
154 25 0
155 120 88
156 96 14
157 121 123
158 518 782
159 7 11
160 8 10
161 27 0
162 97 103
163 14 17
164 30 41
165 11 8
166 85 69
167 65 70
168 0 4
169 0 2
170 6 0
171 4 0
172 0 2
173 11 12
174 3 1
175 6 2
176 231 5
177 10 11
178 0 1
179 423 427
180 8 26
181 26 78
182 105 107
183 3 4
184 106 110
185 31 34
186 60 75
187 159 165
188 0 1
189 43 46
190 18 45
191 7 9
192 108 21
193 28 52
194 141 159
195 458 472
196 20 38
197 101 109
198 6 7
199 55 0
200 3 5
201 1138 1222
202 30 32
203 365 165
204 2 3
205 14 17
206 36 1
207 4 0
208 0 6
209 8 0
210 502 507
211 24 37
212 0 6
213 0 1
214 17 1
215 88 90
216 0 1
217 1 5
218 57 92
219 79 0
220 0 4
221 678 749
222 186 357
223 363 376
224 11 0
225 8 17
226 8 0
227 53 16
228 2401 2477
229 169 172
230 207 221
231 117 118
232 770 777
233 8 10
234 111 34
235 11 13
236 2 8
237 96 101
238 99 111
239 4 0
240 764 1013
241 747 769
242 103 109
243 24 0
244 1 3
245 0 1
246 19 1
247 122 139
248 2 0
249 32 41
250 2 0
251 0 3
252 6435 6806
253 154 0
254 259 271
255 41 42
256 51 10
257 11 12
258 35 14
259 8 17
260 2 26
261 2 0
262 441 486
263 89 91
264 6 0
265 448 0
266 0 2
267 0 6
268 372 418
269 4 0
270 125 0
271 74 76
272 182 194
273 1 25
274 20 25
275 2 0
276 132 0
277 2 0
278 194 742
279 4 0
280 9 10
281 0 11
282 215 217
283 342 391
284 212 251
285 14 20
286 3 5
287 137 139
288 52 0
289 9 0
290 14 11
291 12 0
292 2 0
293 45 1
294 464 601
295 681 708
296 0 10
297 2 0
298 1 3
299 366 408
300 7 9
301 14 4
302 1 3
303 0 2
304 0 1
305 8 31
306 39 0
307 0 1
308 56 0
309 5 13
310 0 2
311 21 25
312 154 33
313 31 99
314 276 193
315 27 28
316 17 19
317 199 204
318 0 3
319 10 26
320 103 126
321 32 0
322 73 84
323 185 264
324 3 4
325 5 0
326 611 613
327 455 487
328 1 4
329 5 0
330 5 0
331 408 58
332 317 300
333 17 20
334 81 1
335 52 60
336 17 3
337 0 2
338 6 8
339 1309 1204
340 83 85
341 27 29
342 503 0
343 143 209
344 486 506
345 3 5
346 76 86
347 0 2
348 9 0
349 122 0
350 1 3
351 25 0
352 1 2
353 1 2
354 4 0
355 11 13
356 18 20
357 0 1
358 860 984
359 5 0
360 10 11
361 4 0
362 135 145
363 8 9
364 90 92
365 22 29
366 0 1
367 26 28
368 31 33
369 361 0
370 7 0
371 59 64
372 10 22
373 37 53
374 231 339
375 53 0
376 767 2767
377 17 0
378 38 47
