533 0 2
534 1 1
535 0 1
536 0 1
537 0 2
538 2 2
539 0 1
540 0 2
541 3 1
542 10 15
543 0 1
544 7 12
545 17 0
546 38 42
547 0 1
548 8 0
549 0 47
550 2 2
551 0 3
552 1 1
553 1 1
554 0 2
555 0 2
556 3 6
557 1 5
558 2 0
559 0 2
560 0 1
561 7 7
562 1 2
563 2 2
564 6 0
565 2 9
566 1 1
567 0 2
568 4 11
569 0 2
570 1 3
571 0 2
572 0 3
573 0 2
574 2 0
575 1 3
576 2 0
577 3 4
578 2 4
579 0 2
580 2 0
581 2 6
582 3 3
583 0 2
584 0 2
585 0 2
586 0 2
587 0 1
588 1 2
589 0 3
590 1 1
591 0 2
592 0 3
593 0 2
594 2 2
595 5 9
596 2 5
597 1 3
598 4 10
599 2 4
600 1 1
601 0 2
602 4 2
603 2 0
604 0 2
605 2 0
606 0 2
607 0 4
608 8 34
609 0 2
610 23 36
611 0 1
612 2 0
613 0 2
614 0 4
615 6 11
616 1 5
617 1 2
618 6 0
619 0 2
620 1 6
621 0 4
622 0 3
623 42 40
624 0 1
625 6 5
626 15 26
627 0 1
628 0 3
629 1 3
630 0 2
631 2 0
632 0 6
633 0 3
634 3 0
635 1 4
636 5 0
637 0 12
638 0 1
639 0 7
640 0 3
641 0 3
642 6 9
643 7 9
644 2 0
645 0 2
646 10 22
647 0 2
648 27 34
649 2 0
650 4 0
651 0 6
652 0 2
653 1 1
654 0 2
655 58 7
656 4 0
657 1 19
658 1 6
659 155 0
660 28 222
661 0 4
662 4 4
663 10 0
664 1 22
665 8 7
666 2 0
667 2 0
668 0 2
669 0 1
670 0 2
671 1 1
672 4 7
673 3 0
674 4 10
675 0 1
676 0 2
677 0 2
678 2 6
679 0 3
680 15 0
681 2 0
682 0 2
683 1 3
684 2 2
685 2 4
686 0 1
687 3 0
688 0 2
689 3 2
690 3 0
691 0 2
692 3 0
693 3 8
694 3 0
695 0 3
696 0 5
697 1 4
698 0 2
699 0 2
700 0 2
701 8 0
702 0 2
703 0 2
704 0 18
705 4 0
706 1 1
707 0 33
708 5 0
709 0 5
710 3 0
711 88 89
712 7 28
713 0 2
714 1 10
715 2 3
716 2 4
717 3 0
718 0 6
719 0 1
720 0 1
721 23 0
722 6 60
723 0 2
724 0 2
725 1 5
726 12 0
727 1 14
728 0 2
729 97 126
730 0 2
731 2 0
732 0 2
733 0 6
734 2 8
735 0 2
736 0 1
737 0 2
738 1 3
739 0 2
740 2 4
741 2 0
742 1 8
743 0 1
744 2 4
745 2 11
746 2 0
747 1 4
748 9 10
749 6 6
750 2 1
751 2 0
752 7 8
753 1 2
754 0 2
755 2 2
756 1 1
757 8 27
758 30 0
759 0 31
760 0 2
761 0 11
762 3 0
763 6 9
764 1 3
765 37 0
766 2 60
767 0 2
768 2 0
769 1 3
770 0 2
771 3 5
772 0 4
773 77 0
774 4 118
775 1 3
776 6 2
777 0 2
778 6 7
779 0 2
780 2 0
781 1 6
782 0 22
783 0 3
784 3 6
785 0 2
786 2 5
787 6 9
788 4 14
789 1 1
790 0 1
791 0 2
792 0 2
793 0 2
794 7 7
795 0 2
796 1 6
797 0 4
798 3 0
799 0 4
800 4 0
801 0 2
802 0 2
803 1 3
804 23 25
805 3 8
806 1 3
807 2 8
808 2 0
809 1 5
810 5 6
811 2 4
812 3 0
813 0 5
814 10 11
815 0 2
816 3 0
817 0 7
818 1 5
819 2 7
820 0 2
821 2 0
822 2 6
823 9 0
824 0 15
825 0 3
826 3 6
827 2 2
828 0 1
829 6 0
830 1 9
831 0 2
832 0 2
833 1 4
834 6 4
835 0 4
836 4 0
837 0 4
838 1 6
839 0 2
840 2 1
841 8 0
842 0 29
843 2 2
844 0 7
845 0 2
846 4 0
847 0 5
848 1 3
849 3 0
850 0 5
851 0 7
852 0 1
853 0 2
854 1 0
855 0 8
856 0 2
857 5 9
858 0 2
859 4 4
860 0 5
861 1 3
862 0 2
863 4 0
864 1 8
865 1 1
866 10 0
867 1 13
868 1 2
869 0 1
870 0 3
871 6 11
872 2 0
873 0 2
874 4 0
875 0 5
876 1 1
877 2 0
878 0 2
879 0 2
880 1 1
881 1 2
882 1 1
883 39 0
884 2 134
885 0 2
886 0 1
887 4 0
888 1 20
889 3 3
890 4 8
891 1 1
892 0 2
893 1 3
894 0 3
895 4 6
896 0 2
897 2 4
898 0 2
899 0 1
900 1 3
901 0 2
902 0 3
903 2 1
904 0 2
905 7 5
906 16 24
907 2 0
908 0 5
909 7 0
910 0 11
911 2 2
912 4 4
913 9 0
914 0 12
915 0 3
916 34 0
917 19 54
918 3 5
919 1 2
920 4 5
921 29 29
922 31 37
923 86 0
924 4 116
925 1 3
926 6 0
927 0 5
928 0 8
929 95 0
930 5 0
931 0 9
932 5 0
933 1 1
934 20 0
935 0 23
936 0 2
937 0 1
938 0 2
939 2 8
940 0 2
941 5 14
942 0 2
943 0 3
944 9 0
945 1 13
946 2 0
947 0 1
948 0 2
949 2 0
950 0 4
951 3 0
952 0 3
953 2 0
954 1 5
955 2 0
956 0 2
957 2 1
958 2 5
959 1 0
960 0 3
961 1 3
962 3 2
963 4 6
964 2 0
965 0 2
966 3 3
967 203 0
968 3 0
969 0 5
970 6 0
971 0 8
972 0 1
973 1 6
974 2 0
975 0 6
976 0 4
977 3 0
978 0 5
979 2 2
980 1 5
981 9 13
982 319 234
983 0 2
984 0 2
985 12 11
986 112 126
987 6 7
988 3 4
989 1 1
990 5 7
991 0 2
992 0 5
993 0 4
994 6 7
995 6 8
996 2 0
997 0 1
998 2 3
999 0 2
1000 0 2
1001 1 1
1002 0 5
1003 0 3
1004 2 0
1005 15 18
1006 3 2
1007 3 0
1008 1 5
1009 0 2
1010 2 10
1011 0 1
1012 14 14
1013 0 2
1014 6 7
1015 0 5
1016 0 2
1017 5 8
1018 0 1
1019 1 3
1020 1 1
1021 1 4
1022 2 2
1023 0 2
1024 0 2
1025 5 6
1026 0 4
1027 0 3
1028 3 0
1029 0 1
1030 1 1
1031 0 2
1032 0 1
1033 7 0
1034 2 0
1035 2 5
1036 1 3
1037 3 0
1038 0 3
1039 7 12
1040 0 2
1041 0 2
1042 0 2
1043 0 1
1044 0 2
1045 4 7
1046 2 0
1047 1 3
1048 0 3
1049 7 8
1050 139 0
1051 18 242
1052 0 2
1053 5 0
1054 0 6
1055 1 3
1056 1 1
1057 3 0
1058 3 10
1059 1 3
1060 3 0
1061 5 0
1062 0 2
1063 1 3
1064 2 3
1065 0 2
1066 3 0
1067 0 2
1068 7 16
1069 0 6
1070 0 3
1071 1 4
1072 2 2
1073 5 0
1074 0 2
1075 1 2
1076 3 4
1077 3 0
1078 2 8
1079 0 2
1080 0 5
1081 3 0
1082 0 2
1083 0 1
1084 3 0
1085 1 3
1086 1 4
1087 4 0
1088 0 7
1089 0 2
1090 14 0
1091 0 2
1092 0 2
1093 0 1
1094 2 0
1095 0 2
1096 0 1
1097 0 9
1098 0 4
1099 25 68
1100 0 2
1101 1 3
1102 2 3
1103 0 2
1104 1 3
1105 0 4
1106 0 2
1107 0 9
1108 0 1
1109 0 2
1110 0 2
1111 2 0
1112 0 4
1113 2 0
1114 2 0
1115 0 4
1116 3 0
1117 6 0
1118 0 14
1119 0 1
1120 0 3
1121 0 2
1122 0 3
1123 0 3
1124 2 4
1125 0 1
1126 3 0
1127 0 4
1128 0 6
1129 9 0
1130 10 0
1131 0 17
1132 1 0
1133 0 6
1134 4 0
1135 1 3
1136 2 0
1137 0 2
1138 1 3
1139 2 2
1140 0 3
1141 0 2
1142 0 1
1143 1 3
1144 0 2
1145 0 2
1146 1 3
1147 0 4
1148 0 3
1149 0 4
1150 1 3
1151 7 0
1152 0 12
1153 3 3
1154 0 3
1155 3 2
1156 2 3
1157 0 5
1158 6 0
1159 0 6
1160 0 2
1161 4 4
1162 70 65
1163 0 2
1164 25 40
1165 0 2
1166 8 4
1167 0 1
1168 3 6
1169 9 21
1170 0 2
1171 4 2
1172 0 2
1173 0 3
1174 2 6
1175 0 6
1176 4 0
1177 1 3
1178 3 5
1179 16 21
1180 0 2
1181 0 1
1182 164 0
1183 0 2
1184 1 1
1185 0 4
1186 0 2
1187 49 0
1188 2 69
1189 2 0
1190 2 4
1191 1 0
1192 2 5
1193 3 6
1194 0 1
1195 0 2
1196 1 1
1197 8 0
1198 0 9
1199 0 2
1200 113 131
1201 3 6
1202 2 0
1203 0 3
1204 0 2
1205 3 0
1206 0 4
1207 30 50
1208 0 2
1209 0 1
1210 0 2
1211 0 2
1212 0 9
1213 1 0
1214 0 2
1215 5 0
1216 0 10
1217 0 3
1218 13 0
1219 14 39
1220 21 23
1221 0 3
1222 0 4
1223 250 225
1224 6 0
1225 2 27
1226 0 2
1227 1 3
1228 3 0
1229 1 3
1230 0 2
1231 0 2
1232 7 9
1233 0 3
1234 4 3
1235 57 0
1236 6 71
1237 7 0
1238 1 18
1239 0 2
1240 6 0
1241 1 5
1242 2 6
1243 0 2
1244 4 6
1245 0 2
1246 4 0
1247 0 3
1248 3 6
1249 0 4
1250 1 3
1251 2 2
1252 0 6
1253 1 3
1254 0 2
1255 0 2
1256 4 7
1257 1 0
1258 0 3
1259 0 2
1260 0 2
1261 0 2
1262 2 1
1263 2 0
1264 0 3
1265 36 102
1266 3 6
1267 0 2
1268 0 3
1269 4 0
1270 1 3
1271 0 2
1272 4 7
1273 2 0
1274 0 4
1275 3 0
1276 0 2
1277 4 0
1278 0 3
1279 1 5
1280 32 0
1281 1 35
1282 1 7
1283 0 1
1284 0 2
1285 1 0
1286 0 2
1287 3 4
1288 0 2
1289 0 1
1290 3 0
1291 1 3
1292 0 4
1293 3 3
1294 0 5
1295 0 2
1296 2 1
1297 1 3
1298 1 2
1299 1 3
1300 3 0
1301 0 2
1302 0 1
1303 0 2
1304 4 0
1305 0 8
1306 0 2
1307 14 24
1308 0 3
1309 1 3
1310 14 24
1311 46 65
1312 2 0
1313 1 5
1314 0 2
1315 1 6
1316 5 0
1317 2 4
1318 11 9
1319 3 0
1320 0 2
1321 0 5
1322 0 2
1323 0 5
1324 0 2
1325 6 6
1326 6 0
1327 0 6
1328 0 3
1329 0 2
1330 0 2
1331 5 5
1332 0 6
1333 6 0
1334 1 16
1335 0 4
1336 0 2
1337 0 2
1338 0 2
1339 4 4
1340 1 0
1341 3 5
1342 0 1
1343 1 1
1344 1 1
1345 3 0
1346 2 5
1347 2 9
1348 1 0
1349 3 0
1350 0 4
1351 8 0
1352 11 0
1353 0 2
1354 59 75
1355 0 5
1356 1 3
1357 0 4
1358 0 2
1359 1 2
1360 0 3
1361 2 9
1362 3 4
1363 2 0
1364 0 3
1365 0 1
1366 0 3
1367 2 2
1368 0 3
1369 0 2
1370 1 2
1371 2 0
1372 18 0
1373 1 21
1374 0 2
1375 0 2
1376 0 6
1377 0 3
1378 15 0
1379 6 27
1380 2 3
1381 16 0
1382 10 22
1383 1 5
1384 1 3
1385 1 6
1386 0 2
1387 0 2
1388 2 0
1389 0 1
1390 3 4
1391 1 1
1392 6 11
1393 16 24
1394 2 5
1395 0 1
1396 0 1
1397 57 92
1398 0 3
1399 0 1
1400 2 2
1401 0 2
1402 0 2
1403 0 3
1404 0 3
1405 0 1
1406 0 1
1407 9 0
1408 0 6
1409 0 1
1410 6 5
1411 0 2
1412 212 0
1413 2 593
1414 25 0
1415 3 37
1416 0 1
1417 1 1
1418 39 0
1419 2 53
1420 1 3
1421 4 8
1422 0 2
1423 2 17
1424 0 3
1425 7 9
1426 0 2
1427 0 2
1428 0 1
1429 1 4
1430 2 2
1431 2 2
1432 0 3
1433 12 16
1434 1 3
1435 440 417
1436 0 4
1437 4 11
1438 13 19
1439 38 0
1440 2 69
1441 0 3
1442 0 2
1443 2 0
1444 0 2
1445 0 5
1446 0 4
1447 10 0
1448 4 9
1449 0 4
1450 0 3
1451 1 10
1452 2 0
1453 1 3
1454 0 1
1455 1 2
1456 4 0
1457 2 0
1458 0 2
1459 4 0
1460 5 15
1461 0 2
1462 3 0
1463 20 25
1464 1 3
1465 0 2
1466 3 0
1467 0 2
1468 22 36
1469 1 3
1470 0 2
1471 7 0
1472 1 15
1473 3 0
1474 0 5
1475 0 3
1476 0 2
1477 2 3
1478 7 11
1479 1 1
1480 0 2
1481 13 0
1482 0 38
1483 1 3
1484 3 3
1485 3 0
1486 0 2
1487 0 3
1488 17 0
1489 1 25
1490 1 0
1491 0 2
1492 1 2
1493 1 3
1494 3 3
1495 11 0
1496 0 12
1497 2 5
1498 10 0
1499 2 30
1500 0 4
1501 0 1
1502 0 2
1503 1 4
1504 420 0
1505 41 273
1506 0 2
1507 2 0
1508 0 2
1509 1 1
1510 2 0
1511 0 5
1512 7 0
1513 0 16
1514 0 2
1515 0 2
1516 1 0
1517 0 2
1518 3 7
1519 0 5
1520 3 0
1521 0 3
1522 0 2
1523 272 239
1524 1 2
1525 14 0
1526 2 28
1527 0 2
1528 0 2
1529 7 22
1530 7 0
1531 0 7
1532 2 2
1533 1 3
1534 14 0
1535 0 10
1536 2 8
1537 3 9
1538 9 0
1539 1 13
1540 86 0
1541 4 101
1542 1 1
1543 77 8
1544 0 2
1545 0 2
1546 4 0
1547 1 8
1548 3 0
1549 0 2
1550 0 1
1551 0 2
1552 3 3
1553 0 2
1554 0 2
1555 1 2
1556 8 0
1557 0 2
1558 1 1
1559 1 2
1560 0 2
1561 2 2
1562 0 4
1563 0 2
1564 11 0
1565 2 8
1566 2 0
1567 2 0
1568 1 6
1569 8 8
1570 4 0
1571 22 26
1572 2 0
1573 1 3
1574 0 3
1575 2 3
1576 1 4
1577 2 6
1578 0 2
1579 27 53
1580 0 2
1581 7 0
1582 2 22
1583 5 0
1584 0 7
1585 38 0
1586 82 103
1587 6 0
1588 0 7
1589 2 0
1590 3 0
1591 0 19
1592 2 4
1593 1 2
1594 2 8
1595 0 2
1596 10 0
1597 56 60
1598 1 1
1599 1 5
1600 0 2
1601 9 0
1602 1 11
1603 1 3
1604 2 0
1605 0 9
1606 0 2
1607 0 3
1608 0 2
1609 0 2
1610 2 0
1611 0 5
1612 2 0
1613 0 2
1614 0 3
1615 0 2
1616 0 2
1617 23 33
1618 4 5
1619 1 8
1620 28 53
1621 0 2
1622 0 2
1623 0 5
1624 1 3
1625 1 1
1626 5 10
1627 0 2
1628 0 2
1629 0 1
1630 3 7
1631 0 2
1632 2 3
1633 2 0
1634 0 1
1635 1 3
1636 4 0
1637 5 16
1638 2 4
1639 0 2
1640 1 2
1641 1 3
1642 2 4
1643 2 0
1644 2 8
1645 1 7
1646 0 2
1647 1 0
1648 1 3
1649 8 9
1650 6 0
1651 1 13
1652 8 17
1653 2 0
1654 2 3
1655 4 7
1656 0 2
1657 2 0
1658 0 3
1659 58 0
1660 1 81
1661 0 3
1662 5 0
1663 0 14
1664 68 0
1665 16 117
1666 4 9
1667 5 5
1668 37 0
1669 0 96
1670 1 2
1671 119 135
1672 0 2
1673 1 3
1674 2 0
1675 0 2
1676 5 5
1677 0 2
1678 2 0
1679 1 2
1680 3 0
1681 0 3
1682 1 1
1683 13 15
1684 1 3
1685 2 0
1686 2 9
1687 0 2
1688 0 4
1689 6 14
1690 0 2
1691 4 3
1692 2 5
1693 4 0
1694 0 4
1695 0 2
1696 0 3
1697 11 0
1698 26 17
1699 0 2
1700 0 2
1701 3 0
1702 0 7
1703 2 4
1704 0 2
1705 2 0
1706 0 7
1707 9 25
1708 6 5
1709 6 7
1710 0 2
1711 2 6
1712 0 2
1713 0 3
1714 4 0
1715 1 6
1716 11 10
1717 0 3
1718 0 2
1719 118 0
1720 3 186
1721 2 0
1722 0 5
1723 0 1
1724 0 3
1725 2 2
1726 21 0
1727 0 33
1728 1 9
1729 1 3
1730 0 2
1731 11 20
1732 1 4
1733 1 1
1734 2 0
1735 0 1
1736 2 0
1737 0 2
1738 2 6
1739 6 5
1740 2 0
1741 3 9
1742 0 1
1743 7 7
1744 0 2
1745 0 2
1746 1 6
1747 0 1
1748 4 1
1749 0 1
1750 0 2
1751 0 2
1752 1 5
1753 1 1
1754 0 1
1755 0 2
1756 0 1
1757 0 2
1758 0 3
1759 4 4
1760 2 4
1761 2 2
1762 0 2
1763 14 0
1764 2 19
1765 0 3
1766 347 0
1767 54 339
1768 1 1
1769 1 2
1770 0 2
1771 3 0
1772 2 4
1773 0 7
1774 1 0
1775 5 0
1776 5 13
1777 1 2
1778 0 2
1779 0 2
1780 0 2
1781 0 2
1782 1 6
1783 6 0
1784 1 2
1785 113 0
1786 5 120
1787 2 0
1788 0 2
1789 0 1
1790 0 2
1791 2 2
1792 2 0
1793 0 2
1794 4 5
1795 2 0
1796 2 11
1797 0 4
1798 0 7
1799 0 2
1800 13 0
1801 1 16
1802 0 2
1803 7 6
1804 0 4
1805 8 5
1806 3 12
1807 88 0
1808 0 139
1809 2 0
1810 1 5
1811 1 2
1812 1 3
1813 1 3
1814 2 5
1815 4 5
1816 6 4
1817 1 3
1818 0 1
1819 47 0
1820 17 93
1821 0 2
1822 0 1
1823 1 3
1824 0 1
1825 0 7
1826 0 3
1827 12 14
1828 0 2
1829 0 2
1830 0 2
1831 0 2
1832 3 3
1833 0 2
1834 0 4
1835 0 2
1836 2 3
1837 0 2
1838 1 2
1839 0 1
1840 2 0
1841 0 2
1842 1 3
1843 8 17
1844 0 4
1845 1 0
1846 0 2
1847 6 0
1848 0 10
1849 6 8
1850 2 0
1851 0 2
1852 0 2
1853 37 41
1854 1 0
1855 1 7
1856 1 5
1857 0 2
1858 0 2
1859 12 0
1860 1 13
1861 0 1
1862 0 3
1863 1 2
1864 104 90
1865 5 0
1866 1 1
1867 2 21
1868 2 0
1869 0 2
1870 0 2
1871 2 0
1872 0 4
1873 4 13
1874 75 0
1875 3 105
1876 9 0
1877 0 11
1878 14 19
1879 7 0
1880 0 6
1881 2 0
1882 2 3
1883 0 2
1884 0 1
1885 0 1
1886 1 1
1887 1 3
1888 1 3
1889 0 4
1890 1 5
1891 0 2
1892 17 19
1893 0 2
1894 0 2
1895 0 1
1896 4 0
1897 3 7
1898 8 0
1899 3 0
1900 0 3
1901 0 2
1902 49 94
1903 4 4
1904 12 0
1905 0 12
1906 0 2
1907 4 7
1908 1 3
1909 2 2
1910 2 1
1911 5 0
1912 0 9
1913 2 2
