192463771	[-0.0017009531595221473, -0.0005494898029368895, 0.8251892069930626, 0.8779872339041822, 0.0002509363427908359]	[0.0014191397036549115, 3.938669055759559e-06, 0.019636656310514762, 0.015091370394476718, 4.3465955046196246e-05]
19590930	[-0.0015839606060183192, -0.0007802253194179634, 0.8349662535046386, 0.8328532448443925, 0.0006055183121611526]	[0.0012189319609228417, 0.0002761109552375714, 0.022396460110807856, 0.058506294206220395, 0.0004879963562295316]
20447568	[-0.0017868140995840561, -0.0006215323463924757, 0.8258015892044818, 0.8646030815097858, 0.00031656635451028284]	[0.0013712786631995381, 0.00010410726869305295, 0.019375886099329487, 0.030620558672843735, 0.00012551356035598617]
211577392	[-0.0022167253179897705, -0.0005508895777811462, 0.8323208073303233, 0.8834658959087703, 0.0002351396101911841]	[0.0014707120038283889, 4.0567444190853105e-06, 0.020346149592824436, 0.015634917534475636, 4.504484181535404e-05]
21422783	[-0.0014882544121215216, -0.0006327041898682803, 0.8215788498020156, 0.8590498175957849, 0.00033709046365009847]	[0.0012528465400165848, 0.0001084523972494458, 0.01769114785537633, 0.029638673163394018, 0.00012422691414133545]
2173684107	[-0.001523443266969892, -0.0006248342805067037, 0.8221318305989597, 0.8610155091539916, 0.000328427947221943]	[0.001278001879527396, 0.00010599045975663664, 0.01801525017907722, 0.029223849961386387, 0.000121918065903353]
222036996	[-0.003578330819774715, -0.0005546570900018882, 0.8511595407980169, 0.8979432832733812, 0.00019343621220562225]	[4.5679624082207594e-08, 6.03145423127114e-08, 9.217222224187011e-06, 1.1245032561432746e-05, 1.0864668827360835e-10]
222496251	[-0.001460984309989169, -0.0009019080627173278, 0.8335061756103769, 0.807804092576873, 0.0009033116626601533]	[0.0010908607683780699, 0.000362247467506112, 0.020831124134869233, 0.07306245334596427, 0.0007087303581079936]
223782598	[-0.0017373888965461475, -0.0006108123188403456, 0.8241287817082718, 0.8648605435649908, 0.0003533684802994357]	[0.001355240730088591, 9.643723808824581e-05, 0.0201830294927986, 0.029637849352258834, 0.00023829676290223928]
22900494	[-0.0015627483106301521, -0.0006160277929516252, 0.8227478063637632, 0.8632100563579365, 0.00031874651812017]	[0.0013044372962513681, 0.00010246376800489733, 0.018352403116503168, 0.02859339070535727, 0.00011853787308221615]
2368436134	[-0.0013233550567308774, -0.0009279792139897154, 0.8329672714858548, 0.8020732109259534, 0.0009236541644181832]	[0.0009852355090761563, 0.0003598345728676158, 0.020163628363293717, 0.07161050242609068, 0.0007092436267918539]
2413215217	[-0.001969176717418963, -0.0005502482621336941, 0.8289029167055285, 0.8808424161343247, 0.00024272177531300054]	[0.001468920514533153, 4.063623662264174e-06, 0.02032337480697668, 0.015618143112240076, 4.499128765762346e-05]
245957521	[-0.002103255293941685, -0.0005505879397032735, 0.8307528819026232, 0.8822618263178438, 0.00023861486977440222]	[0.0014750709151810845, 4.075696760168576e-06, 0.020407592773741802, 0.015682597981867653, 4.517864660225028e-05]
1143130812	[-0.0017229328927344512, -0.0006030882178583952, 0.8250705277214128, 0.8675758901055183, 0.0003011243896851064]	[0.001373114719750426, 9.526524003171032e-05, 0.0192775675308322, 0.027886072585476155, 0.00011348124069543391]
25816024	[-0.0012538836130721127, -0.0011837953196083262, 0.8489300802366087, 0.7552880397161504, 0.0014783181012448206]	[0.000972542509228952, 0.0005380964462722259, 0.032155011449149035, 0.10224923315997937, 0.001107031694352462]
26203837	[-0.0015839394472639764, -0.0007802168314136962, 0.8349641488903381, 0.8328504356521861, 0.0006055196770515009]	[0.0012189446050458839, 0.0002761111263484772, 0.02239864741962911, 0.058506731484612225, 0.0004879960415065907]
1156991923	[-0.0015627863711436072, -0.0006160332483425267, 0.8227498750279278, 0.8632129495744677, 0.00031874441708349457]	[0.00130442855874032, 0.00010248837160230777, 0.018348682398613238, 0.028585755215217, 0.00011853481880891677]
2862964321	[-0.0011594336153199322, -0.0012208561303352202, 0.8496602282274838, 0.7474287809056699, 0.0015573189451320681]	[0.0008696523587224742, 0.0005349393899037739, 0.032729572788983224, 0.10040844855231935, 0.0010981950791708079]
117754884	[-0.0017363305146260793, -0.0006164982570288336, 0.8251485017535053, 0.8650552118544691, 0.00031342928850701005]	[0.0013634682005336306, 0.00010218949543919765, 0.01921574232158751, 0.02972999949316348, 0.0001219592355768947]
11985982	[-0.001989735961315949, -0.0005502338038018205, 0.8291757416397539, 0.8810468311648907, 0.00024209066862664587]	[0.0014707680101542595, 4.076192328141956e-06, 0.020350031149439205, 0.01563940330578678, 4.5045309279245484e-05]
288567673	[-0.0014925808548817661, -0.0003885586099643547, 0.8609464404024333, 0.8435487669203953, 0.006331092862777421]	[0.001823348997897001, 0.0009680950679452268, 0.15463688109796586, 0.1055066019588917, 0.026264968000396467]
2906686402	[-0.0014560397003754984, -0.0009060232900630431, 0.834039281946019, 0.8077152862970755, 0.0008806980639329801]	[0.0010932048490491372, 0.0003599765392660692, 0.020019716894656425, 0.07304179480155089, 0.0007091960949611989]
2920256952	[-0.0035783262054358673, -0.0005546631826907263, 0.8511604718780653, 0.8979444191932068, 0.00019343622318059514]	[4.37754619849499e-08, 5.780032141938309e-08, 8.833000910144556e-06, 1.0776281664240944e-05, 1.0411773450429323e-10]
293013635	[-0.0015627540106957925, -0.0006160202666889412, 0.8227466562060564, 0.8632086531628578, 0.00031874650456285055]	[0.001304446103872603, 0.00010246827705278311, 0.01835062261541415, 0.028591686313184296, 0.00011853788741410962]
311380778	[-0.00132337224821878, -0.0009279861104931831, 0.832968981484974, 0.802075493394621, 0.0009236530554447752]	[0.000985227345804205, 0.00035983163421260075, 0.020161823563823972, 0.07161119313079906, 0.0007092443001701657]
3289816264	[-0.0012621394213828848, -0.0011856335476647752, 0.8485808092006507, 0.7544590547241539, 0.0014986939787300583]	[0.0009688821612850759, 0.0005360640000714197, 0.03265783413152774, 0.10150141047460584, 0.001093779451795133]
3292722958	[-0.0035782985194027666, -0.0005546997388237607, 0.8511660583583552, 0.8979512347121602, 0.00019343628903043227]	[4.222546425235897e-18, 1.0089490115026135e-18, 0.0, 0.0, 0.0]
3356627800	[-0.001909895618425093, -0.0006169912998940932, 0.8275526476163677, 0.8669045769362379, 0.0003081120995658085]	[0.0013986478410923163, 0.00010189849956988721, 0.019756392089596106, 0.03071833091971703, 0.0001250612959329944]
