192463771	[-0.0003268022978921543, -0.00032680235937660595, 0.8251171876261637, 0.8779872339041822, 0.0002509363427908359]	[5.120228749112526e-05, 5.120229712619341e-05, 0.019798502949887997, 0.015091370394476718, 4.3465955046196246e-05]
19590930	[-0.0006711139294084844, -0.0006711140556758602, 0.8323799404149758, 0.8328532448443925, 0.0006055183121611526]	[0.00047270568514644584, 0.00047270577408789304, 0.01647818438058658, 0.058506294206220395, 0.0004879963562295316]
20447568	[-0.0003924459182799971, -0.0003924459921148796, 0.8285732940810776, 0.8646030815097858, 0.00031656635451028284]	[0.0001315217175830598, 0.00013152174232936665, 0.01784264265433293, 0.030620558672843735, 0.00012551356035598617]
211577392	[-0.0003082024653435923, -0.000308202523327992, 0.8323076779019771, 0.8834658959087703, 0.0002351396101911841]	[5.305570975812128e-05, 5.3055719741960244e-05, 0.02051393245953634, 0.015634917534475636, 4.504484181535405e-05]
21422783	[-0.0004146724631533454, -0.0004146725411703826, 0.8247889927650612, 0.8590498175957849, 0.00033709046365009847]	[0.00012934106534935033, 0.00012934108968518297, 0.016458309143205195, 0.029638673163394018, 0.00012422691414133545]
2173684107	[-0.0004057591857917756, -0.00040575926213178297, 0.8250309953116729, 0.8610155091539916, 0.000328427947221943]	[0.00012708492416441502, 0.00012708494807578248, 0.01687519198741766, 0.029223849961386387, 0.000121918065903353]
222036996	[-0.00025907923021649973, -0.00025907927895705993, 0.8513017207205705, 0.8979432832733812, 0.00019343621220562228]	[1.5821459543388574e-08, 1.5821462519926364e-08, 9.081144954409897e-06, 1.1245032561432746e-05, 1.0864668827360834e-10]
222496251	[-0.0009072115487514196, -0.0009072117194460125, 0.7701182937096088, 0.807804092576873, 0.0009033116626601533]	[0.0006813522858663595, 0.0006813524140719679, 0.37854001114725694, 0.07306245334596427, 0.0007087303581079938]
223782598	[-0.0003623429718496576, -0.00036234304002080763, 0.716513490698844, 0.8648605435649909, 0.0003533684802994357]	[0.00014695653213277784, 0.0001469565597828806, 0.4864233019850787, 0.029637849352258834, 0.00023829676290223928]
22900494	[-0.00039580121735482195, -0.0003958012918212416, 0.8252994274889245, 0.8632100563579365, 0.00031874651812017]	[0.0001237566624868414, 0.00012375668577203173, 0.01732704244455459, 0.02859339070535727, 0.00011853787308221615]
2368436134	[-0.0009656905916760216, -0.0009656907733739019, 0.8345080038240634, 0.8020732109259534, 0.0009236541644181832]	[0.0006643129340272763, 0.000664313059027112, 0.016815594835220764, 0.07161050242609067, 0.0007092436267918539]
2413215217	[-0.0003171207700329783, -0.000317120829695594, 0.8288614565482875, 0.8808424161343247, 0.00024272177531300054]	[5.2994647091253696e-05, 5.2994657063601974e-05, 0.020490926659753723, 0.015618143112240076, 4.499128765762346e-05]
245957521	[-0.00031229260927479987, -0.0003122926680288687, 0.8307267830022843, 0.8822618263178438, 0.00023861486977440227]	[5.321498091446673e-05, 5.3214990928276747e-05, 0.020575857764207683, 0.015682597981867653, 4.517864660225027e-05]
1143130812	[-0.00037721633240889115, -0.00037721640337847373, 0.8271124410032665, 0.8675758901055183, 0.0003011243896851064]	[0.00011907830015616681, 0.00011907832256123918, 0.01831115851017885, 0.027886072585476155, 0.00011348124069543391]
25816024	[-0.0016515583441261688, -0.0016515586558100406, 0.8465253805579495, 0.7552880397161504, 0.0014783181012448202]	[0.0012789647366704484, 0.0012789649787836367, 0.0222534637730948, 0.10224923315997937, 0.001107031694352462]
26203837	[-0.0006711202867243411, -0.0006711204129929131, 0.8323779555448194, 0.8328504356521861, 0.0006055196770515009]	[0.00047270439197561674, 0.0004727044809168204, 0.016479615978981097, 0.058506731484612225, 0.0004879960415065907]
1156991923	[-0.00039579346865904053, -0.0003957935431240021, 0.8253013299951912, 0.8632129495744677, 0.00031874441708349457]	[0.0001237404043914085, 0.00012374042767353998, 0.01732449982709607, 0.028585755215217, 0.00011853481880891677]
2862964321	[-0.0017373656483286022, -0.0017373659762203086, 0.846893105947788, 0.7474287809056699, 0.0015573189451320681]	[0.0012749565472183547, 0.0012749567886126984, 0.022627301840858437, 0.10040844855231935, 0.0010981950791708079]
117754884	[-0.00038953682893896126, -0.00038953690222657004, 0.8277197846267169, 0.8650552118544691, 0.00031342928850701005]	[0.00012773844889380357, 0.00012773847292826582, 0.017901504788208945, 0.02972999949316348, 0.0001219592355768947]
11985982	[-0.00031639966633532544, -0.0003163997258622455, 0.8291367810161536, 0.8810468311648907, 0.00024209066862664587]	[5.306323986860941e-05, 5.3063249853865153e-05, 0.020517779099291387, 0.01563940330578678, 4.5045309279245484e-05]
288567673	[-0.00036233794847517726, -0.00036233801664545945, 0.81840454038379, 0.8435487669203953, 0.006331092862777421]	[0.0001469576508528157, 0.00014695767850293764, 0.04558276038191372, 0.1055066019588917, 0.026264968000396467]
2906686402	[-0.000924117797819719, -0.0009241179716951852, 0.8354975831672072, 0.8077152862970755, 0.0008806980639329801]	[0.0006655815318680516, 0.0006655816571065001, 0.01678130600393806, 0.07304179480155089, 0.000709196094961199]
2920256952	[-0.00025907763200773995, -0.0002590776807479995, 0.8513026380547389, 0.8979444191932069, 0.0001934362231805951]	[1.5161939588691277e-08, 1.5161942441206735e-08, 8.702596043348718e-06, 1.0776281664240944e-05, 1.0411773450429323e-10]
293013635	[-0.00039580319161270375, -0.00039580326607949483, 0.8252982943114229, 0.8632086531628578, 0.00031874650456285055]	[0.00012375448145077335, 0.00012375450473555325, 0.01732534200067737, 0.028591686313184296, 0.00011853788741410962]
311380778	[-0.0009656854263568875, -0.0009656856080537966, 0.8345096165310649, 0.802075493394621, 0.0009236530554447752]	[0.0006643159720832748, 0.0006643160970836822, 0.0168142506323809, 0.07161119313079906, 0.0007092443001701658]
3289816264	[-0.0016439452017563223, -0.0016439455120077827, 0.8004308743373795, 0.7544590547241539, 0.0014986939787300579]	[0.0012876558389358788, 0.0012876560826799253, 0.3220334319573662, 0.10150141047460584, 0.001093779451795133]
3292722958	[-0.00025906804275517174, -0.0002590680914936272, 0.851308142059749, 0.8979512347121602, 0.00019343628903043227]	[4.374725537189466e-18, 4.406718356734883e-18, 1.89779953377581e-15, 0.0, 0.0]
3356627800	[-0.0003832665177494564, -0.00038326658985714024, 0.8301435412970158, 0.8669045769362378, 0.0003081120995658085]	[0.00013130688120758816, 0.00013130690591352985, 0.0181419110268164, 0.030718330919717027, 0.0001250612959329944]
