696945215	[0.006700796210645137, 0.0, -0.7260315784941136, 0.5361901164959537, 0.36542911328072053]	[0.005492896030975052, 0.0, 0.5667867511657512, 0.07832333665639506, 0.24781275939782893]
33238453	[0.003432069926644956, 0.0, -0.6740193946578179, 0.60014969164111, 0.17170904326683292]	[0.0020172436028409097, 0.0, 0.5887529636238436, 0.1689390258410224, 0.05158320644937787]
93671327	[-0.0008994744925343396, 0.0, -0.3044252417853919, 0.4330384616503449, 0.36345968719156596]	[0.0032820441691560364, 0.0, 0.2997195149930799, 0.11547963236739717, 0.38270896232443957]
993894510	[0.002290132932109011, 0.0, -0.6585019003949685, 0.5792952712596445, 0.17114435507520961]	[0.0020766736680766424, 0.0, 0.5446748829111043, 0.15873161142908054, 0.04792147252628336]
93100245	[0.004820186324669343, 0.0, -1.4176815788285282, 0.7289213572569777, 0.33477813691238917]	[0.004193501734152391, 0.0, 1.8199559142590285, 0.10152221574328958, 0.259467505273337]
6245377672	[-0.0009728213274499177, 0.0, -0.6563978086559701, 0.40772526717382207, 0.18224878767944952]	[0.004771429132709501, 0.0, 0.6092014741585231, 0.19321209982779025, 0.05554463785067372]
386677349	[0.0014254036766242352, 0.0, -0.6315507816994532, 0.4705009078143322, 0.4014035215586171]	[0.0033102469086613525, 0.0, 0.5663188641746614, 0.1178808798027017, 0.40003324650547173]
910602215	[-0.00038580425180312014, 0.0, -0.5571410584589119, 0.47477939558714793, 0.4267658390146491]	[0.003827238620918721, 0.0, 0.4000297673998307, 0.10124629944117645, 0.49065795201274215]
939241693	[-0.0003858501186422168, 0.0, -0.5604679854794786, 0.4733661396389231, 0.42261633957188344]	[0.003827215110125188, 0.0, 0.40113894273598055, 0.10201295606910993, 0.48366145963350227]
53426159	[-0.0008993696313033631, 0.0, -0.34361945096479884, 0.45341399075169597, 0.3698903674835651]	[0.0032820779527912864, 0.0, 0.36289769756251944, 0.11706685353475842, 0.38056633198770357]
