192463771	[0.10843445025876504, 7.598684525214031e-05, -0.0644447436865741, 0.5180747895478333, 0.08537844079803752]	[0.12422877362752466, 0.00010151222936395032, 0.48516410140774363, 0.2829684314817172, 0.1159734650181219]
19590930	[0.10752558164605772, 7.546497727007081e-05, -0.06326237896999119, 0.5238862814391736, 0.0843381540905975]	[0.12372219241402233, 0.00010097120015004368, 0.48234318041507757, 0.28579085071677723, 0.11565685602620634]
20447568	[0.10890096717449083, 7.638566802666612e-05, -0.06508069293021763, 0.5271876473713567, 0.08044608413019558]	[0.12384449197844855, 0.00010123826508405637, 0.48541022031645464, 0.2861046204123215, 0.11366347636762454]
211577392	[0.10957492758760681, 7.676516433929048e-05, -0.06463706988288787, 0.5214619409839173, 0.08315972203229105]	[0.12448672668415338, 0.00010180332562305615, 0.48810254581181256, 0.2871303952914864, 0.11498576617096817]
21422783	[0.10671431669328346, 7.496598676461369e-05, -0.06224438138566423, 0.5215951056324167, 0.08421054028185987]	[0.12324369578518372, 0.00010052789327622809, 0.4795782767870596, 0.2827391249280294, 0.11469966211486143]
2173684107	[0.10733656234454156, 7.531923549245806e-05, -0.06363121050781685, 0.5166168293923026, 0.08585248907783684]	[0.12388651252059939, 0.00010107984396995631, 0.4822985996008144, 0.28308675664704763, 0.11536650875532042]
222036996	[0.10766432992619422, 7.556709990508844e-05, -0.06289346531362192, 0.5296577657567506, 0.08216386596075376]	[0.12362451904959892, 0.00010091994765261694, 0.4823919248638911, 0.2862823308478965, 0.11550006082771351]
222496251	[0.10607627171077025, 7.436887161395373e-05, -0.0632157037764527, 0.5292397117672637, 0.08432068607411648]	[0.12361390750423111, 0.00010077444968219893, 0.47944733302135706, 0.28584872591205135, 0.11648791346368254]
223782598	[0.10998525180711813, 7.712330715313237e-05, -0.06391258781501848, 0.5376697099963356, 0.07723043089780968]	[0.1241712184009276, 0.00010158339768819595, 0.4882038773134215, 0.28583646576209987, 0.11248784046937926]
22900494	[0.11080384305172611, 7.757319382397844e-05, -0.06551518079835061, 0.5258965895324004, 0.08046370301671177]	[0.124779335507552, 0.00010218787826332184, 0.4910799608726514, 0.2827609798327467, 0.11309108755241813]
