113168742	[-0.06441934409879248, -0.0644193441215117, 0.06788237559672734, 0.22923588411349166, 4.577675106823782]	[0.04223258717859079, 0.04223258717431233, 1.3232849130917608, 0.034615238336508945, 3.8437241285057797]
1131573813735546880	[-0.10191917364747251, -0.10191917367016119, 0.8693930475282885, 0.1811423190870529, 2.319142684885927]	[0.08243677872064492, 0.08243677870812391, 0.11623314480210953, 0.08737486146479705, 1.019935016745646]
113503286	[-0.10191917291732902, -0.10191917293373744, -0.08286597844584517, 0.2105609421325934, 4.467561374159462]	[0.0824367778121942, 0.08243677780171324, 1.2648099857041373, 0.05195783302829063, 3.857274690566895]
1132452978538024961	[-0.1019191727913002, -0.10191917281401147, 0.7672071892456043, 0.19919196957714275, 3.5756123516944287]	[0.08243677909571248, 0.08243677908317475, 0.24199122897171463, 0.07057397826266425, 1.8750541372650522]
1137809440432898050	[-0.06441934410739862, -0.06441934413022107, 0.0051161624523463345, 0.2560881904123228, 4.370318584580297]	[0.04223258717623757, 0.04223258717204801, 1.3945353735564887, 0.07488215327048639, 3.2499829672557903]
113816520	[-3.276870155433285e-11, -3.276870124641847e-11, 0.7013648187727612, 0.36412790067749007, 2.0174880632887473]	[8.583271442522656e-11, 8.583271420938776e-11, 0.06481343772428425, 0.04230062515682093, 2.072284406839603]
1142864340	[-0.06441934246462296, -0.06441934246466915, 0.8527926503449514, 0.15330359836558008, 3.123596711197493]	[0.04223258625520329, 0.04223258625523732, 0.33314168114039794, 0.04243995743559551, 2.2501819703796024]
1136056154	[-0.1019191715244678, -0.10191917154730253, 0.8565255719833901, 0.20726302459149795, 4.29972518662806]	[0.08243677724316147, 0.08243677723067278, 0.08850907628841405, 0.06337465105247735, 3.2574658915208716]
114329378	[-0.016294567813180325, -0.016294567813187187, 0.7528138999733348, 0.2364332342925133, 1.4905527422528075]	[0.021268604734672344, 0.02126860473468006, 0.18632744162313397, 0.09424116612830437, 0.694300043287721]
1142395454069641217	[-0.10191917143521517, -0.10191917145792768, 1.3168143058163215, 0.1924251896825559, 3.7126252926994017]	[0.08243677747139191, 0.08243677745885636, 1.0156145024224652, 0.06925395260070678, 1.9838432033505895]
