662609989	[-0.00044621529794049207, 0.0, -0.00044621529794049207, 0.28855817571778114, 0.010832075675303615]	[0.0004862426407543691, 0.0, 0.0004862426407543691, 0.015856978932024177, 0.015938263533096932]
6691743644628340820	[-0.000162475182050646, 0.0, -0.000162475182050646, 0.25653734850364485, 0.013621560878810729]	[8.1237591025323e-05, 0.0, 8.1237591025323e-05, 0.04818467549624842, 0.02151723394011116]
5068694656672598393	[-0.002936704279476659, 0.0, -0.002936704279476659, 0.2060626409503868, 0.08312807047570184]	[0.0037091557091763327, 0.0, 0.0037091557091763327, 0.04602000263663026, 0.12822611550426127]
763228713	[-0.00020309397756330749, 0.0, -0.00020309397756330749, 0.28062968625176904, 0.002862943908755148]	[0.0, 0.0, 0.0, 0.0, 0.0]
2886905304314680288	[-8.1237591025323e-05, 0.0, -8.1237591025323e-05, 0.15348894252259054, 0.10589045701420177]	[9.949532297247173e-05, 0.0, 9.949532297247173e-05, 0.10983333991512555, 0.08956014863212908]
250313869	[-0.00012185638653798448, 0.0, -0.00012185638653798448, 0.17180976441378334, 0.38838443301191977]	[9.949532297247172e-05, 0.0, 9.949532297247172e-05, 0.1332766411763066, 0.4721654665903492]
654969347	[-0.00020774363382864894, 0.0, -0.00020774363382864894, 0.27618225809525343, 0.05811927869709625]	[0.00023099857666541364, 0.0, 0.00023099857666541364, 0.09191204291768558, 0.06567188180526688]
103250403	[-0.0004305936996546045, 0.0, -0.0004305936996546045, 0.27766357820341386, 0.03874451697682904]	[0.0005620774026800941, 0.0, 0.0005620774026800941, 0.05722907013692451, 0.06309038516027703]
7448295325	[-0.00020309397756330749, 0.0, -0.00020309397756330749, 0.28062968625176904, 0.002862943908755148]	[0.0, 0.0, 0.0, 0.0, 0.0]
1345837233973102727	[-0.000162475182050646, 0.0, -0.000162475182050646, 0.39743607982848295, 0.3507752036118526]	[8.1237591025323e-05, 0.0, 8.1237591025323e-05, 0.23361278715342773, 0.6958245194061949]
4495657837915125050	[-0.00012185638653798448, 0.0, -0.00012185638653798448, 0.23654438549469034, 0.028819237582728814]	[9.949532297247172e-05, 0.0, 9.949532297247172e-05, 0.05478854208256727, 0.03660431171175722]
9136609539069351643	[-0.00020309397756330749, 0.0, -0.00020309397756330749, 0.28062968625176904, 0.002862943908755148]	[0.0, 0.0, 0.0, 0.0, 0.0]
